#MeshBlock 0 on rank=0 with cost=1
#  Logical level 3, location = (0 0 0)
2.5 -3.75
2.5 -2.5
1.25 -2.5
1.25 -3.75


#MeshBlock 40 on rank=0 with cost=1
#  Logical level 4, location = (10 4 0)
2.5 -5
3.75 -5
3.75 -3.75
2.5 -3.75
2.5 -5


#MeshBlock 41 on rank=0 with cost=1
#  Logical level 4, location = (11 4 0)
3.75 -5
5 -5
5 -3.75
3.75 -3.75
3.75 -5


#MeshBlock 42 on rank=0 with cost=1
#  Logical level 4, location = (10 5 0)
2.5 -3.75
3.75 -3.75
3.75 -2.5
2.5 -2.5
2.5 -3.75


#MeshBlock 43 on rank=0 with cost=1
#  Logical level 4, location = (11 5 0)
3.75 -3.75
5 -3.75
5 -2.5
3.75 -2.5
3.75 -3.75


#MeshBlock 44 on rank=0 with cost=1
#  Logical level 4, location = (8 6 0)
0 -2.5
1.25 -2.5
1.25 -1.25
0 -1.25
0 -2.5


#MeshBlock 45 on rank=0 with cost=1
#  Logical level 4, location = (9 6 0)
1.25 -2.5
2.5 -2.5
2.5 -1.25
1.25 -1.25
1.25 -2.5


#MeshBlock 46 on rank=0 with cost=1
#  Logical level 4, location = (8 7 0)
0 -1.25
1.25 -1.25
1.25 0
0 0
0 -1.25


#MeshBlock 47 on rank=0 with cost=1
#  Logical level 4, location = (9 7 0)
1.25 -1.25
2.5 -1.25
2.5 0
1.25 0
1.25 -1.25


#MeshBlock 48 on rank=0 with cost=1
#  Logical level 4, location = (10 6 0)
2.5 -2.5
3.75 -2.5
3.75 -1.25
2.5 -1.25
2.5 -2.5


#MeshBlock 49 on rank=0 with cost=1
#  Logical level 4, location = (11 6 0)
3.75 -2.5
5 -2.5
5 -1.25
3.75 -1.25
3.75 -2.5


#MeshBlock 50 on rank=0 with cost=1
#  Logical level 4, location = (10 7 0)
2.5 -1.25
3.75 -1.25
3.75 0
2.5 0
2.5 -1.25


#MeshBlock 51 on rank=0 with cost=1
#  Logical level 4, location = (11 7 0)
3.75 -1.25
5 -1.25
5 0
3.75 0
3.75 -1.25


#MeshBlock 60 on rank=0 with cost=1
#  Logical level 4, location = (4 8 0)
-5 0
-3.75 0
-3.75 1.25
-5 1.25
-5 0


#MeshBlock 61 on rank=0 with cost=1
#  Logical level 4, location = (5 8 0)
-3.75 0
-2.5 0
-2.5 1.25
-3.75 1.25
-3.75 0


#MeshBlock 62 on rank=0 with cost=1
#  Logical level 4, location = (4 9 0)
-5 1.25
-3.75 1.25
-3.75 2.5
-5 2.5
-5 1.25


#MeshBlock 63 on rank=0 with cost=1
#  Logical level 4, location = (5 9 0)
-3.75 1.25
-2.5 1.25
-2.5 2.5
-3.75 2.5
-3.75 1.25


#MeshBlock 64 on rank=0 with cost=1
#  Logical level 4, location = (6 8 0)
-2.5 0
-1.25 0
-1.25 1.25
-2.5 1.25
-2.5 0


#MeshBlock 65 on rank=0 with cost=1
#  Logical level 4, location = (7 8 0)
-1.25 0
0 0
0 1.25
-1.25 1.25
-1.25 0


#MeshBlock 66 on rank=0 with cost=1
#  Logical level 4, location = (6 9 0)
-2.5 1.25
-1.25 1.25
-1.25 2.5
-2.5 2.5
-2.5 1.25


#MeshBlock 67 on rank=0 with cost=1
#  Logical level 4, location = (7 9 0)
-1.25 1.25
0 1.25
0 2.5
-1.25 2.5
-1.25 1.25


#MeshBlock 68 on rank=0 with cost=1
#  Logical level 4, location = (4 10 0)
-5 2.5
-3.75 2.5
-3.75 3.75
-5 3.75
-5 2.5


#MeshBlock 69 on rank=0 with cost=1
#  Logical level 4, location = (5 10 0)
-3.75 2.5
-2.5 2.5
-2.5 3.75
-3.75 3.75
-3.75 2.5


#MeshBlock 70 on rank=0 with cost=1
#  Logical level 4, location = (4 11 0)
-5 3.75
-3.75 3.75
-3.75 5
-5 5
-5 3.75


#MeshBlock 71 on rank=0 with cost=1
#  Logical level 4, location = (5 11 0)
-3.75 3.75
-2.5 3.75
-2.5 5
-3.75 5
-3.75 3.75


#MeshBlock 72 on rank=0 with cost=1
#  Logical level 4, location = (6 10 0)
-2.5 2.5
-1.25 2.5
-1.25 3.75
-2.5 3.75
-2.5 2.5


#MeshBlock 73 on rank=0 with cost=1
#  Logical level 4, location = (7 10 0)
-1.25 2.5
0 2.5
0 3.75
-1.25 3.75
-1.25 2.5


#MeshBlock 74 on rank=0 with cost=1
#  Logical level 4, location = (6 11 0)
-2.5 3.75
-1.25 3.75
-1.25 5
-2.5 5
-2.5 3.75


#MeshBlock 75 on rank=0 with cost=1
#  Logical level 4, location = (7 11 0)
-1.25 3.75
0 3.75
0 5
-1.25 5
-1.25 3.75


#MeshBlock 84 on rank=0 with cost=1
#  Logical level 4, location = (8 8 0)
0 0
1.25 0
1.25 1.25
0 1.25
0 0


#MeshBlock 85 on rank=0 with cost=1
#  Logical level 4, location = (9 8 0)
1.25 0
2.5 0
2.5 1.25
1.25 1.25
1.25 0


#MeshBlock 86 on rank=0 with cost=1
#  Logical level 4, location = (8 9 0)
0 1.25
1.25 1.25
1.25 2.5
0 2.5
0 1.25


#MeshBlock 87 on rank=0 with cost=1
#  Logical level 4, location = (9 9 0)
1.25 1.25
2.5 1.25
2.5 2.5
1.25 2.5
1.25 1.25


#MeshBlock 88 on rank=0 with cost=1
#  Logical level 4, location = (10 8 0)
2.5 0
3.75 0
3.75 1.25
2.5 1.25
2.5 0


#MeshBlock 89 on rank=0 with cost=1
#  Logical level 4, location = (11 8 0)
3.75 0
5 0
5 1.25
3.75 1.25
3.75 0


#MeshBlock 90 on rank=0 with cost=1
#  Logical level 4, location = (10 9 0)
2.5 1.25
3.75 1.25
3.75 2.5
2.5 2.5
2.5 1.25


#MeshBlock 91 on rank=0 with cost=1
#  Logical level 4, location = (11 9 0)
3.75 1.25
5 1.25
5 2.5
3.75 2.5
3.75 1.25


#MeshBlock 92 on rank=0 with cost=1
#  Logical level 4, location = (8 10 0)
0 2.5
1.25 2.5
1.25 3.75
0 3.75
0 2.5


#MeshBlock 93 on rank=0 with cost=1
#  Logical level 4, location = (9 10 0)
1.25 2.5
2.5 2.5
2.5 3.75
1.25 3.75
1.25 2.5


#MeshBlock 94 on rank=0 with cost=1
#  Logical level 4, location = (8 11 0)
0 3.75
1.25 3.75
1.25 5
0 5
0 3.75


#MeshBlock 95 on rank=0 with cost=1
#  Logical level 4, location = (9 11 0)
1.25 3.75
2.5 3.75
2.5 5
1.25 5
1.25 3.75


#MeshBlock 96 on rank=0 with cost=1
#  Logical level 4, location = (10 10 0)
2.5 2.5
3.75 2.5
3.75 3.75
2.5 3.75
2.5 2.5


#MeshBlock 97 on rank=0 with cost=1
#  Logical level 4, location = (11 10 0)
3.75 2.5
5 2.5
5 3.75
3.75 3.75
3.75 2.5


#MeshBlock 98 on rank=0 with cost=1
#  Logical level 4, location = (10 11 0)
2.5 3.75
3.75 3.75
3.75 5
2.5 5
2.5 3.75


#MeshBlock 99 on rank=0 with cost=1
#  Logical level 4, location = (11 11 0)
3.75 3.75
5 3.75
5 5
3.75 5
3.75 3.75


